runtime,method,metric,result
runc,PING_INLINE,requests_per_second,30525.03
runc,PING_BULK,requests_per_second,30293.85
runc,SET,requests_per_second,30257.19
runc,GET,requests_per_second,30312.21
runc,INCR,requests_per_second,30525.03
runc,LPUSH,requests_per_second,30712.53
runc,RPUSH,requests_per_second,30459.95
runc,LPOP,requests_per_second,30367.45
runc,RPOP,requests_per_second,30665.44
runc,SADD,requests_per_second,30030.03
runc,HSET,requests_per_second,30656.04
runc,SPOP,requests_per_second,29940.12
runc,LRANGE_100,requests_per_second,24224.81
runc,LRANGE_300,requests_per_second,14302.06
runc,LRANGE_500,requests_per_second,11728.83
runc,LRANGE_600,requests_per_second,9900.99
runc,MSET,requests_per_second,30120.48
runsc,PING_INLINE,requests_per_second,14528.55
runsc,PING_BULK,requests_per_second,15627.44
runsc,SET,requests_per_second,15403.57
runsc,GET,requests_per_second,15325.67
runsc,INCR,requests_per_second,15269.51
runsc,LPUSH,requests_per_second,15172.2
runsc,RPUSH,requests_per_second,15117.16
runsc,LPOP,requests_per_second,15257.86
runsc,RPOP,requests_per_second,15188.33
runsc,SADD,requests_per_second,15432.1
runsc,HSET,requests_per_second,15163.0
runsc,SPOP,requests_per_second,15561.78
runsc,LRANGE_100,requests_per_second,13365.41
runsc,LRANGE_300,requests_per_second,9520.18
runsc,LRANGE_500,requests_per_second,8248.78
runsc,LRANGE_600,requests_per_second,6544.07
runsc,MSET,requests_per_second,14367.82
